// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 1 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// ***** Done, took 00:00:00 (0.02 sec)   *****
// Found 1 benchmarks:
//   MergeSortBenchmark.RunMergeSort: MediumRun(Toolchain=InProcessNoEmitToolchain, IterationCount=15, LaunchCount=2, WarmupCount=10)

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: Высокая производительность)
// **************************
// Benchmark: MergeSortBenchmark.RunMergeSort: MediumRun(Toolchain=InProcessNoEmitToolchain, IterationCount=15, LaunchCount=2, WarmupCount=10)
// *** Execute ***
// Launch: 1 / 2

// Benchmark Process Environment Information:
// Runtime=.NET Framework 4.8.1 (4.8.9166.0), X86 LegacyJIT
// GC=Concurrent Workstation
// HardwareIntrinsics= 
// Job: MediumRun(Toolchain=InProcessNoEmitToolchain, IterationCount=15, LaunchCount=2, WarmupCount=10)

OverheadJitting  1: 1 op, 88600.00 ns, 88.6000 us/op
WorkloadJitting  1: 1 op, 1676500.00 ns, 1.6765 ms/op

OverheadJitting  2: 16 op, 89200.00 ns, 5.5750 us/op
WorkloadJitting  2: 16 op, 8800100.00 ns, 550.0063 us/op

WorkloadPilot    1: 16 op, 7176900.00 ns, 448.5563 us/op
WorkloadPilot    2: 32 op, 14520800.00 ns, 453.7750 us/op
WorkloadPilot    3: 64 op, 28316600.00 ns, 442.4469 us/op
WorkloadPilot    4: 128 op, 62625600.00 ns, 489.2625 us/op
WorkloadPilot    5: 256 op, 115072700.00 ns, 449.5027 us/op
WorkloadPilot    6: 512 op, 237525600.00 ns, 463.9172 us/op
WorkloadPilot    7: 1024 op, 493139000.00 ns, 481.5811 us/op
WorkloadPilot    8: 2048 op, 967756300.00 ns, 472.5373 us/op

OverheadWarmup   1: 2048 op, 3600.00 ns, 1.7578 ns/op
OverheadWarmup   2: 2048 op, 3100.00 ns, 1.5137 ns/op
OverheadWarmup   3: 2048 op, 3100.00 ns, 1.5137 ns/op
OverheadWarmup   4: 2048 op, 3100.00 ns, 1.5137 ns/op
OverheadWarmup   5: 2048 op, 3100.00 ns, 1.5137 ns/op
OverheadWarmup   6: 2048 op, 3100.00 ns, 1.5137 ns/op

OverheadActual   1: 2048 op, 3100.00 ns, 1.5137 ns/op
OverheadActual   2: 2048 op, 3300.00 ns, 1.6113 ns/op
OverheadActual   3: 2048 op, 3100.00 ns, 1.5137 ns/op
OverheadActual   4: 2048 op, 3400.00 ns, 1.6602 ns/op
OverheadActual   5: 2048 op, 3200.00 ns, 1.5625 ns/op
OverheadActual   6: 2048 op, 3100.00 ns, 1.5137 ns/op
OverheadActual   7: 2048 op, 3100.00 ns, 1.5137 ns/op
OverheadActual   8: 2048 op, 3000.00 ns, 1.4648 ns/op
OverheadActual   9: 2048 op, 3800.00 ns, 1.8555 ns/op
OverheadActual  10: 2048 op, 3300.00 ns, 1.6113 ns/op
OverheadActual  11: 2048 op, 3100.00 ns, 1.5137 ns/op
OverheadActual  12: 2048 op, 3000.00 ns, 1.4648 ns/op
OverheadActual  13: 2048 op, 3000.00 ns, 1.4648 ns/op
OverheadActual  14: 2048 op, 3100.00 ns, 1.5137 ns/op
OverheadActual  15: 2048 op, 3100.00 ns, 1.5137 ns/op

WorkloadWarmup   1: 2048 op, 977747700.00 ns, 477.4159 us/op
WorkloadWarmup   2: 2048 op, 997006500.00 ns, 486.8196 us/op
WorkloadWarmup   3: 2048 op, 992417500.00 ns, 484.5789 us/op
WorkloadWarmup   4: 2048 op, 971549100.00 ns, 474.3892 us/op
WorkloadWarmup   5: 2048 op, 937149300.00 ns, 457.5924 us/op
WorkloadWarmup   6: 2048 op, 916050400.00 ns, 447.2902 us/op
WorkloadWarmup   7: 2048 op, 1028151000.00 ns, 502.0269 us/op
WorkloadWarmup   8: 2048 op, 969442600.00 ns, 473.3606 us/op
WorkloadWarmup   9: 2048 op, 912253100.00 ns, 445.4361 us/op
WorkloadWarmup  10: 2048 op, 920966700.00 ns, 449.6908 us/op

WorkloadActual   1: 2048 op, 939093900.00 ns, 458.5419 us/op
WorkloadActual   2: 2048 op, 928254500.00 ns, 453.2493 us/op
WorkloadActual   3: 2048 op, 902539300.00 ns, 440.6930 us/op
WorkloadActual   4: 2048 op, 905237200.00 ns, 442.0104 us/op
WorkloadActual   5: 2048 op, 979464400.00 ns, 478.2541 us/op
WorkloadActual   6: 2048 op, 963245000.00 ns, 470.3345 us/op
WorkloadActual   7: 2048 op, 911318200.00 ns, 444.9796 us/op
WorkloadActual   8: 2048 op, 922705000.00 ns, 450.5396 us/op
WorkloadActual   9: 2048 op, 949538000.00 ns, 463.6416 us/op
WorkloadActual  10: 2048 op, 970478800.00 ns, 473.8666 us/op
WorkloadActual  11: 2048 op, 999611500.00 ns, 488.0916 us/op
WorkloadActual  12: 2048 op, 998100600.00 ns, 487.3538 us/op
WorkloadActual  13: 2048 op, 1016819100.00 ns, 496.4937 us/op
WorkloadActual  14: 2048 op, 985393500.00 ns, 481.1492 us/op
WorkloadActual  15: 2048 op, 902507400.00 ns, 440.6774 us/op

