// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 2 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// ***** Done, took 00:00:00 (0.01 sec)   *****
// Found 2 benchmarks:
//   MergeSortBenchmark.RunMergeSort: MediumRun(Toolchain=InProcessNoEmitToolchain, IterationCount=15, LaunchCount=2, WarmupCount=10)
//   MergeSortBenchmark.RunStandardSort: MediumRun(Toolchain=InProcessNoEmitToolchain, IterationCount=15, LaunchCount=2, WarmupCount=10)

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: Высокая производительность)
// **************************
// Benchmark: MergeSortBenchmark.RunMergeSort: MediumRun(Toolchain=InProcessNoEmitToolchain, IterationCount=15, LaunchCount=2, WarmupCount=10)
// *** Execute ***
// Launch: 1 / 2

// Benchmark Process Environment Information:
// Runtime=.NET Framework 4.8.1 (4.8.9166.0), X86 LegacyJIT
// GC=Concurrent Workstation
// HardwareIntrinsics= 
// Job: MediumRun(Toolchain=InProcessNoEmitToolchain, IterationCount=15, LaunchCount=2, WarmupCount=10)

OverheadJitting  1: 1 op, 81200.00 ns, 81.2000 us/op
WorkloadJitting  1: 1 op, 1370100.00 ns, 1.3701 ms/op

OverheadJitting  2: 16 op, 57700.00 ns, 3.6063 us/op
WorkloadJitting  2: 16 op, 7980700.00 ns, 498.7938 us/op

WorkloadPilot    1: 16 op, 7242300.00 ns, 452.6438 us/op
WorkloadPilot    2: 32 op, 13876600.00 ns, 433.6438 us/op
WorkloadPilot    3: 64 op, 29752100.00 ns, 464.8766 us/op
WorkloadPilot    4: 128 op, 61621300.00 ns, 481.4164 us/op
WorkloadPilot    5: 256 op, 111367700.00 ns, 435.0301 us/op
WorkloadPilot    6: 512 op, 224891400.00 ns, 439.2410 us/op
WorkloadPilot    7: 1024 op, 445340700.00 ns, 434.9030 us/op
WorkloadPilot    8: 2048 op, 885449300.00 ns, 432.3483 us/op

OverheadWarmup   1: 2048 op, 3600.00 ns, 1.7578 ns/op
OverheadWarmup   2: 2048 op, 2900.00 ns, 1.4160 ns/op
OverheadWarmup   3: 2048 op, 2900.00 ns, 1.4160 ns/op
OverheadWarmup   4: 2048 op, 2700.00 ns, 1.3184 ns/op
OverheadWarmup   5: 2048 op, 2800.00 ns, 1.3672 ns/op
OverheadWarmup   6: 2048 op, 2700.00 ns, 1.3184 ns/op

OverheadActual   1: 2048 op, 2900.00 ns, 1.4160 ns/op
OverheadActual   2: 2048 op, 2900.00 ns, 1.4160 ns/op
OverheadActual   3: 2048 op, 3000.00 ns, 1.4648 ns/op
OverheadActual   4: 2048 op, 2900.00 ns, 1.4160 ns/op
OverheadActual   5: 2048 op, 3100.00 ns, 1.5137 ns/op
OverheadActual   6: 2048 op, 3100.00 ns, 1.5137 ns/op
OverheadActual   7: 2048 op, 2900.00 ns, 1.4160 ns/op
OverheadActual   8: 2048 op, 2700.00 ns, 1.3184 ns/op
OverheadActual   9: 2048 op, 2800.00 ns, 1.3672 ns/op
OverheadActual  10: 2048 op, 2800.00 ns, 1.3672 ns/op
OverheadActual  11: 2048 op, 2900.00 ns, 1.4160 ns/op
OverheadActual  12: 2048 op, 3000.00 ns, 1.4648 ns/op
OverheadActual  13: 2048 op, 3200.00 ns, 1.5625 ns/op
OverheadActual  14: 2048 op, 2900.00 ns, 1.4160 ns/op
OverheadActual  15: 2048 op, 2800.00 ns, 1.3672 ns/op

WorkloadWarmup   1: 2048 op, 931035700.00 ns, 454.6073 us/op
WorkloadWarmup   2: 2048 op, 957514600.00 ns, 467.5364 us/op
WorkloadWarmup   3: 2048 op, 998745100.00 ns, 487.6685 us/op
WorkloadWarmup   4: 2048 op, 985234100.00 ns, 481.0713 us/op
WorkloadWarmup   5: 2048 op, 878611300.00 ns, 429.0094 us/op
WorkloadWarmup   6: 2048 op, 885089800.00 ns, 432.1728 us/op
WorkloadWarmup   7: 2048 op, 872422800.00 ns, 425.9877 us/op
WorkloadWarmup   8: 2048 op, 874468100.00 ns, 426.9864 us/op
WorkloadWarmup   9: 2048 op, 886655100.00 ns, 432.9371 us/op
WorkloadWarmup  10: 2048 op, 881510000.00 ns, 430.4248 us/op

WorkloadActual   1: 2048 op, 869236400.00 ns, 424.4318 us/op
WorkloadActual   2: 2048 op, 877861600.00 ns, 428.6434 us/op
WorkloadActual   3: 2048 op, 880987400.00 ns, 430.1696 us/op
WorkloadActual   4: 2048 op, 893053700.00 ns, 436.0614 us/op
WorkloadActual   5: 2048 op, 965967400.00 ns, 471.6638 us/op
WorkloadActual   6: 2048 op, 954621100.00 ns, 466.1236 us/op
WorkloadActual   7: 2048 op, 954783400.00 ns, 466.2028 us/op
WorkloadActual   8: 2048 op, 879421100.00 ns, 429.4048 us/op
WorkloadActual   9: 2048 op, 860562700.00 ns, 420.1966 us/op
WorkloadActual  10: 2048 op, 873666200.00 ns, 426.5948 us/op
WorkloadActual  11: 2048 op, 865269700.00 ns, 422.4950 us/op
WorkloadActual  12: 2048 op, 917317100.00 ns, 447.9087 us/op
WorkloadActual  13: 2048 op, 873450300.00 ns, 426.4894 us/op
