// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 3 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// ***** Done, took 00:00:00 (0.01 sec)   *****
// Found 3 benchmarks:
//   SortingBenchmarks.RunMergeSort: MediumRun(Toolchain=InProcessNoEmitToolchain, IterationCount=15, LaunchCount=2, WarmupCount=10)
//   SortingBenchmarks.RunStandardSort: MediumRun(Toolchain=InProcessNoEmitToolchain, IterationCount=15, LaunchCount=2, WarmupCount=10)
//   SortingBenchmarks.HeapBasedSearch: MediumRun(Toolchain=InProcessNoEmitToolchain, IterationCount=15, LaunchCount=2, WarmupCount=10)

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: Высокая производительность)
// **************************
// Benchmark: SortingBenchmarks.RunMergeSort: MediumRun(Toolchain=InProcessNoEmitToolchain, IterationCount=15, LaunchCount=2, WarmupCount=10)
// *** Execute ***
// Launch: 1 / 2

// Benchmark Process Environment Information:
// Runtime=.NET Framework 4.8.1 (4.8.9166.0), X86 LegacyJIT
// GC=Concurrent Workstation
// HardwareIntrinsics= 
// Job: MediumRun(Toolchain=InProcessNoEmitToolchain, IterationCount=15, LaunchCount=2, WarmupCount=10)

OverheadJitting  1: 1 op, 85600.00 ns, 85.6000 us/op
WorkloadJitting  1: 1 op, 1377900.00 ns, 1.3779 ms/op

OverheadJitting  2: 16 op, 65200.00 ns, 4.0750 us/op
WorkloadJitting  2: 16 op, 8631600.00 ns, 539.4750 us/op

WorkloadPilot    1: 16 op, 6793800.00 ns, 424.6125 us/op
WorkloadPilot    2: 32 op, 15599000.00 ns, 487.4688 us/op
WorkloadPilot    3: 64 op, 28988400.00 ns, 452.9438 us/op
WorkloadPilot    4: 128 op, 58751400.00 ns, 458.9953 us/op
WorkloadPilot    5: 256 op, 123262800.00 ns, 481.4953 us/op
WorkloadPilot    6: 512 op, 232990000.00 ns, 455.0586 us/op
WorkloadPilot    7: 1024 op, 472122700.00 ns, 461.0573 us/op
WorkloadPilot    8: 2048 op, 952253100.00 ns, 464.9673 us/op

OverheadWarmup   1: 2048 op, 3100.00 ns, 1.5137 ns/op
OverheadWarmup   2: 2048 op, 2900.00 ns, 1.4160 ns/op
OverheadWarmup   3: 2048 op, 2800.00 ns, 1.3672 ns/op
OverheadWarmup   4: 2048 op, 2800.00 ns, 1.3672 ns/op
OverheadWarmup   5: 2048 op, 2900.00 ns, 1.4160 ns/op
OverheadWarmup   6: 2048 op, 2800.00 ns, 1.3672 ns/op
OverheadWarmup   7: 2048 op, 2900.00 ns, 1.4160 ns/op

OverheadActual   1: 2048 op, 2900.00 ns, 1.4160 ns/op
OverheadActual   2: 2048 op, 3000.00 ns, 1.4648 ns/op
OverheadActual   3: 2048 op, 2900.00 ns, 1.4160 ns/op
OverheadActual   4: 2048 op, 3100.00 ns, 1.5137 ns/op
OverheadActual   5: 2048 op, 3100.00 ns, 1.5137 ns/op
OverheadActual   6: 2048 op, 3000.00 ns, 1.4648 ns/op
OverheadActual   7: 2048 op, 3100.00 ns, 1.5137 ns/op
OverheadActual   8: 2048 op, 2900.00 ns, 1.4160 ns/op
OverheadActual   9: 2048 op, 2900.00 ns, 1.4160 ns/op
OverheadActual  10: 2048 op, 2900.00 ns, 1.4160 ns/op
OverheadActual  11: 2048 op, 3000.00 ns, 1.4648 ns/op
OverheadActual  12: 2048 op, 2900.00 ns, 1.4160 ns/op
OverheadActual  13: 2048 op, 2900.00 ns, 1.4160 ns/op
OverheadActual  14: 2048 op, 2900.00 ns, 1.4160 ns/op
OverheadActual  15: 2048 op, 2800.00 ns, 1.3672 ns/op

WorkloadWarmup   1: 2048 op, 880715600.00 ns, 430.0369 us/op
WorkloadWarmup   2: 2048 op, 848899800.00 ns, 414.5019 us/op
WorkloadWarmup   3: 2048 op, 844229500.00 ns, 412.2214 us/op
WorkloadWarmup   4: 2048 op, 855058000.00 ns, 417.5088 us/op
WorkloadWarmup   5: 2048 op, 860070000.00 ns, 419.9561 us/op
WorkloadWarmup   6: 2048 op, 893447700.00 ns, 436.2538 us/op
