// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 2 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// ***** Done, took 00:00:00 (0.01 sec)   *****
// Found 2 benchmarks:
//   SortingBenchmarks.MergeSort: MediumRun(Toolchain=InProcessNoEmitToolchain, IterationCount=15, LaunchCount=2, WarmupCount=10)
//   SortingBenchmarks.StandardSort: MediumRun(Toolchain=InProcessNoEmitToolchain, IterationCount=15, LaunchCount=2, WarmupCount=10)

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: Высокая производительность)
// **************************
// Benchmark: SortingBenchmarks.MergeSort: MediumRun(Toolchain=InProcessNoEmitToolchain, IterationCount=15, LaunchCount=2, WarmupCount=10)
// *** Execute ***
// Launch: 1 / 2

// Benchmark Process Environment Information:
// Runtime=.NET Framework 4.8.1 (4.8.9166.0), X86 LegacyJIT
// GC=Concurrent Workstation
// HardwareIntrinsics= 
// Job: MediumRun(Toolchain=InProcessNoEmitToolchain, IterationCount=15, LaunchCount=2, WarmupCount=10)

OverheadJitting  1: 1 op, 82700.00 ns, 82.7000 us/op
WorkloadJitting  1: 1 op, 1415100.00 ns, 1.4151 ms/op

OverheadJitting  2: 16 op, 63600.00 ns, 3.9750 us/op
WorkloadJitting  2: 16 op, 8164200.00 ns, 510.2625 us/op

WorkloadPilot    1: 16 op, 7023500.00 ns, 438.9688 us/op
WorkloadPilot    2: 32 op, 14050700.00 ns, 439.0844 us/op
WorkloadPilot    3: 64 op, 28445900.00 ns, 444.4672 us/op
WorkloadPilot    4: 128 op, 57046100.00 ns, 445.6727 us/op
WorkloadPilot    5: 256 op, 115598100.00 ns, 451.5551 us/op
WorkloadPilot    6: 512 op, 223948400.00 ns, 437.3992 us/op
WorkloadPilot    7: 1024 op, 446701900.00 ns, 436.2323 us/op
WorkloadPilot    8: 2048 op, 915217700.00 ns, 446.8836 us/op

OverheadWarmup   1: 2048 op, 3600.00 ns, 1.7578 ns/op
OverheadWarmup   2: 2048 op, 3200.00 ns, 1.5625 ns/op
OverheadWarmup   3: 2048 op, 3100.00 ns, 1.5137 ns/op
OverheadWarmup   4: 2048 op, 3000.00 ns, 1.4648 ns/op
OverheadWarmup   5: 2048 op, 3100.00 ns, 1.5137 ns/op
OverheadWarmup   6: 2048 op, 3100.00 ns, 1.5137 ns/op
OverheadWarmup   7: 2048 op, 3000.00 ns, 1.4648 ns/op
OverheadWarmup   8: 2048 op, 3000.00 ns, 1.4648 ns/op

OverheadActual   1: 2048 op, 3100.00 ns, 1.5137 ns/op
OverheadActual   2: 2048 op, 3000.00 ns, 1.4648 ns/op
OverheadActual   3: 2048 op, 3100.00 ns, 1.5137 ns/op
OverheadActual   4: 2048 op, 3300.00 ns, 1.6113 ns/op
